actual_current_dm3058_ma,output_duty_pct,adc1_raw,adc1_voltage_v,adc2_raw,adc2_voltage_v,set_current_ma,stm32_reported_current_ma,source_file,source_row,time_s,sample_count,dropped_each_side
11.1824,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,106,5.57744,64,16
11.1826,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,85,4.61151,64,16
11.1827,1.9,73,0.063,,,10,10.65,low_current_test_after_adaptive.csv,107,6.05949,64,16
11.1828,1.8,73,0.063,,,10,10.65,low_current_test_after_adaptive.csv,114,11.3693,64,16
11.1829,1.9,63,0.055,,,10,9.063,low_current_test_after_adaptive.csv,124,5.09465,64,16
11.183,1.8,73,0.063,,,10,10.65,low_current_test_after_adaptive.csv,96,11.3781,64,16
11.1831,1.8,69,0.06,,,10,10.001,low_current_test_after_adaptive.csv,134,11.3733,64,16
11.1831,1.9,66,0.058,,,10,9.525,low_current_test_after_adaptive.csv,129,7.99473,64,16
11.1835,1.8,77,0.068,,,10,11.295,low_current_sweep_start_duty.csv,93,10.876,64,16
11.184,1.9,73,0.063,,,10,10.65,low_current_sweep_start_duty.csv,89,8.46129,64,16
11.1854,1.9,67,0.058,,,10,9.68,low_current_sweep_start_duty.csv,82,4.11146,64,16
11.2753,2,66,0.058,,,10,9.525,low_current_sweep_latest.csv,128,12.1448,64,16
11.2882,1.8,77,0.068,,,10,11.295,low_current_sweep_start_duty.csv,85,5.56125,64,16
11.2982,1.8,73,0.063,,,10,10.65,low_current_sweep_start_duty.csv,84,5.07736,64,16
11.386,1.8,77,0.068,,,10,11.295,low_current_sweep_latest.csv,107,15.2456,64,16
11.3937,1.8,73,0.063,,,10,10.65,low_current_test_after_adaptive.csv,135,11.8532,64,16
11.407,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,98,12.339,64,16
11.4262,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,87,5.57534,64,16
11.5392,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,106,14.7656,64,16
11.6502,1.8,73,0.063,,,10,10.65,low_current_sweep_start_duty.csv,94,11.3615,64,16
11.793,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,98,9.93578,64,16
11.7965,1.8,69,0.06,,,10,10.001,low_current_sweep_latest.csv,122,8.76115,64,16
11.7968,1.8,73,0.063,,,10,10.65,low_current_test_after_adaptive.csv,86,5.09002,64,16
11.797,1.8,73,0.063,,,10,10.65,low_current_test_after_adaptive.csv,89,7.0254,64,16
11.7973,1.8,73,0.063,,,10,10.65,low_current_test_after_adaptive.csv,97,11.8614,64,16
